country,name,kind,url,note
US,ESPN,tv,https://www.espn.com/watch/,
US,ABC,tv,https://abc.com/watch-live,
US,NBC,tv,https://www.nbc.com/live,
US,Peacock,streaming,https://www.peacocktv.com/,
US,FOX,tv,https://www.fox.com/live/,
US,CBS,tv,https://www.cbs.com/live-tv/,
US,Paramount+,streaming,https://www.paramountplus.com/,
US,TNT,tv,https://www.tntdrama.com/watchtnt,Lost NBA rights after 2024-25; kept for archive rows
US,Amazon Prime Video,streaming,https://www.amazon.com/gp/video/storefront,
US,Apple TV,streaming,https://tv.apple.com/,
US,NBA League Pass,streaming,https://www.nba.com/watch/league-pass-stream,
US,USA Network,tv,https://www.usanetwork.com/,
US,FS1,tv,https://www.foxsports.com/live,
US,ESPN+,streaming,https://plus.espn.com/,
GB,Sky Sports,tv,https://www.skysports.com/watch,
GB,TNT Sports,tv,https://www.tntsports.co.uk/,
GB,BBC,tv,https://www.bbc.co.uk/iplayer,
GB,ITV,tv,https://www.itv.com/watch,
GB,Amazon Prime Video,streaming,https://www.amazon.co.uk/gp/video/storefront,
GB,Premier Sports,tv,https://www.premiersports.com/,
GB,DAZN,streaming,https://www.dazn.com/en-GB/,
GB,NBA League Pass,streaming,https://www.nba.com/watch/league-pass-stream,
GB,Discovery+,streaming,https://www.discoveryplus.com/gb,
TR,beIN SPORTS,tv,https://www.beinsports.com.tr/,
TR,S Sport,tv,https://www.ssport.tv/,
TR,S Sport Plus,streaming,https://www.ssportplus.com/,
TR,TRT Spor,tv,https://www.trtspor.com.tr/,
TR,Tabii,streaming,https://www.tabii.com/,
TR,Exxen,streaming,https://www.exxen.com/,
TR,TV8,tv,https://www.tv8.com.tr/,
TR,NBA League Pass,streaming,https://www.nba.com/watch/league-pass-stream,
TR,beIN CONNECT,streaming,https://www.beinconnect.com.tr/,
